organization,lastknown_country,patents
Pacific Scientific Energetic Materials Company (Arizona) LLC,US,1
"Cedar Ridge Research, LLC",US,1
Keystone Aerospace,US,1
The Thin Red Line Aerospace Ltd.,CA,1
"Sargent Industries, Inc.",US,1
Saft,FR,1
"Ascent Solar Technologies, Inc.",US,1
Loral Vought Systems Corporation,US,1
ICO Services Ltd.,GB,1
Pyroalliance,FR,1
ECOLE POLYTECHNIQUE,FR,1
LTV Aerospace and Defense Co.,US,1
Mero-Raumstruktur GmbH & Co.,DE,1
Contraves-Goerz Corporation,US,1
W. E. Research LLC,US,1
UNIVERSITE DE LIEGE,BE,1
Max-Planck-Gesellschaft zur Foerderung der Wissenschaften E.V.,DE,1
Forschungszentrum Julich GmbH,DE,1
"Mist Systems, Inc.",US,1
The Institute for Space and Terrestrial Science,CA,1
Princeton Satelitte Systems,US,1
"Kaiser Marquardt, Inc.",US,1
"Aerospace Recovery System, Inc.",US,1
Kabushiki Kaisha Nihon Denzai Kogyo Kenkyusho,JP,1
"Discovery Semiconductors, Inc.",US,1
YALE UNIVERSITY,US,1
Mitsubishi Jukogyo Kabushiki Kaisha,JP,1
Negesat Di Boer Fabrizio & C. SNC.,IT,1
Lockheed Martin Corp. Missiles & Space,US,1
Robill Products,US,1
Cooper Technologies Company,US,1
Airbus,FR,1
Astrium GmbH Earth Observation and Science Div.,DE,1
"Nova, Inc.",US,1
Virtuality Entertainment Limited,GB,1
Aeritalia,IT,1
The United State of America as represented by the Administrator of the National Aeronautics and Space Administration,US,1
The United States of America as represented by the United States Energy Research and Development Administration,US,1
Rincon Research Corporation,US,1
Interferometrics Inc.,US,1
UNIVERSITE PIERRE ET MARIE CURIE (PARIS 6),FR,1
Licentia Patent-Verwaltungs-GmbH,DE,1
,US,1
X DEVELOPMENT LLC,US,1
Intersonics Incorporated,US,1
,TR,1
"Orbital Research Partners, L.P.",US,1
International Fuel Cells Corporation,AG,1
"Technion, Incorporated",US,1
Pioneer Rocketplane Corporation,US,1
"Engene, Inc.",KR,1
"Ubē Industries, Ltd.",JP,1
JIL Industries Limited Partnership,US,1
CVI Incorporated,US,1
Symmetry Systems LLC,US,1
"Starcraft Boosters, Inc.",US,1
,JP,1
"Skycorp, Inc.",US,1
STN Atlas Elektronik GmbH,DE,1
"Rocket Lab USA, Inc.",US,1
Vanderbilt University,US,1
European Aeronautic Defence and Space Company EADS France,FR,1
Carl M. Loeb Trust,US,1
General Atomics,US,1
SICAT,FR,1
Pacific Scientific Energetic Materials Company,US,1
Arete Associates,US,1
"National Technology & Engineering Solutions of Sandia, LLC",US,1
"Bigelow Development Aerospace Division, Limited Liability Company",US,1
Fokker B.V.,NL,1
"Analytic Services, Inc.",US,1
"ROHR, INC.",US,1
Aleris Aluminum Koblenz GmbH,DE,1
"Aerius International, Ltd.",US,1
Bronzavia Air Equipment,FR,1
Linde Aktiengesellschaft,DE,1
"Amazon Technologies, Inc.",US,1
"Ventions, LLC",US,1
Schot Glas,DE,1
"Carleton Technologies, Inc.",US,1
"Dynamic Systems Research, Inc.",US,1
F.I.M.A.C. Fabbrica Italiana Macchine Aria Compressa S.p.A.,IT,1
Expand International AB,SE,1
Ant Nachrinctentechnik GmbH,DE,1
JX Crystals Inc.,US,1
CSEM Centre Suisse d'Electronique et de Microtechnique SA,CH,1
MI Developments Austria AG & CO KG,AT,1
Sankyu Inc.,JP,1
NINGBO UNIVERSITY,CN,1
Minnesota Mining and Manufacturing Company,US,1
Institut fuer Luft- und Kaeltetechnik Gemeinnuetzige Gesellschaft mbH,DE,1
Smithsonian Institution,US,1
AeroAstro,US,1
E. I. du Pont de Nemours and Company,US,1
Loral Corp.,US,1
MacDonald Dettwiler Space and Advanced Robotics Ltd.,CA,1
"SPIRE GLOBAL, INC.",US,1
"Doty Scientific, Inc.",US,1
G&A Technical Software Inc.,US,1
DBI/Century Fuels & Aerospace Services,US,1
"Ekla-Tek, LLC",US,1
General Dynamics Corp./Convair Division,US,1
Texas Instruments Incorporated,US,1
TriSept Corporation,US,1
Pilkington PLC,GB,1
International Technology Center,US,1
Fukuoka Prefecture,JP,1
"Advanced Scientific Concepts, Inc.",US,1
TRW-Astro Aerospace Corporation,US,1
Urugus S.A.,UY,1
Ramot University Authority for Applied Research & Industrial Development Ltd.,IL,1
Saab-Scania Combitech Aktiebolag,SE,1
Korea Advanced Institue of Science & Technology,KR,1
Rotary Rocket Company,US,1
"Pratt & Whitney Rockedyne, Inc.",US,1
Geryon Space Technologies,US,1
The University of Alabama in Huntsville,US,1
Gosudarstvennoe Nauchnoe Uchrezhdenic “Gosudarstvenny Nauchno-Issledovatelsky Institut Prikladnoi Mechanik I Elektrodinamiki”,RU,1
"Japan Storage Battery Co., Ltd.",JP,1
Space Studies Institute,US,1
Conseil et Technique,FR,1
Emcore Corporation,US,1
"AEC Able Engineering Co., Inc.",US,1
"General Dynamics Decision Systems, Inc.",US,1
"Samsung Electronics Co., Ltd.",KR,1
International Marketing and Licensing Limited,GB,1
Purdue Research Foundation,US,1
Hi-Shear Technology Corporation,US,1
,US,1
"Toyota Motor Engineering & Manufacturing North America, Inc.",US,1
General Dynamics,US,1
,US,1
Organisation Intergouvernementale Dite Agence Spatiale Europeenne,FR,1
,JP,1
BEIJING INSTITUTE OF CONTROL ENGINEERING,CN,1
"Woodward, Inc.",US,1
"Health Hero Network, Inc.",US,1
Photonic Associates,US,1
Director-General of the Agency of Industrial Science & Technology,JP,1
"Moutain Engineering II, Inc.",US,1
Elwha LLC,US,1
Princeton Satellite Systems,US,1
Selenia Spazio S.p.A.,IT,1
,DE,1
United Kingdom Atomic Energy Authority,GB,1
"Harris-Exigent, Inc.",US,1
Utah State University,US,1
Electronic and Telecommunications Research Institute,KR,1
Siémens Aktiengesellschaft,DE,1
"TGV ROCKETS, INC.",US,1
Dutch Space B.V.,NL,1
Institut National de la Recherche Scientifique (INRS),CA,1
"ReCon/Optical, inc.",US,1
"Teledyne Energy Systems, Inc.",US,1
SKY Perfect JSAT Corporation,JP,1
National Pingtung University of Science and Technology,TW,1
The Bionetics Corporation,US,1
"MetroLaser, Inc.",US,1
BBNT Solutions LLC,US,1
"RCS Rocket Motor Components, Inc.",US,1
"Ingenieria, Diseno Y Analisis, S.L.",ES,1
Fokker Space & Systems B.V.,NL,1
Erco GmbH,DE,1
Pittsburgh-Des Moines Corporation,US,1
CONNECTICUT ANALYTICAL CORP.,US,1
"Rohm Co., Ltd.",JP,1
FFV Aerotech AB,SE,1
Southwest Research Institute,US,1
"Advanced Cooling Technologies, Inc.",US,1
"Scapa Flow, LLC",US,1
Lockheed Martin Missiles & Space Co.,US,1
,US,1
University Corporation for Atmospheric Research,US,1
,US,1
"Quoin International, Inc.",US,1
Aurora Products Corporation,US,1
,US,1
General Dynamics Corp./Space Systems Div.,US,1
The Regents of the University of California,US,1
"Retro Systems, LLC",US,1
EADS Launch Vehicles,FR,1
"Electric Propulsion Laboratory, Inc.",US,1
"Maxwell Technologies, Inc.",US,1
McDonnell Douglas Aerospace West,US,1
"Space Services, Incorporated",US,1
